DATE,DRFAPGACBS
1987-01-01,8.74
1987-04-01,8.38
1987-07-01,7.92
1987-10-01,7.42
1988-01-01,6.25
1988-04-01,5.83
1988-07-01,5.68
1988-10-01,5.23
1989-01-01,4.78
1989-04-01,4.71
1989-07-01,4.38
1989-10-01,4.19
1990-01-01,4.20
1990-04-01,3.81
1990-07-01,3.68
1990-10-01,3.61
1991-01-01,3.55
1991-04-01,3.60
1991-07-01,3.51
1991-10-01,3.65
1992-01-01,3.57
1992-04-01,3.62
1992-07-01,3.89
1992-10-01,3.37
1993-01-01,3.30
1993-04-01,2.99
1993-07-01,2.84
1993-10-01,2.70
1994-01-01,2.58
1994-04-01,2.44
1994-07-01,2.41
1994-10-01,2.43
1995-01-01,2.46
1995-04-01,2.50
1995-07-01,2.49
1995-10-01,2.58
1996-01-01,2.87
1996-04-01,3.10
1996-07-01,2.96
1996-10-01,3.03
1997-01-01,2.83
1997-04-01,2.61
1997-07-01,2.55
1997-10-01,2.60
1998-01-01,2.57
1998-04-01,2.68
1998-07-01,2.88
1998-10-01,2.81
1999-01-01,3.19
1999-04-01,3.18
1999-07-01,2.86
1999-10-01,2.66
2000-01-01,2.56
2000-04-01,2.48
2000-07-01,2.47
2000-10-01,2.56
2001-01-01,2.58
2001-04-01,2.58
2001-07-01,2.78
2001-10-01,2.59
2002-01-01,2.49
2002-04-01,2.51
2002-07-01,2.57
2002-10-01,2.44
2003-01-01,2.61
2003-04-01,2.62
2003-07-01,2.55
2003-10-01,2.27
2004-01-01,1.89
2004-04-01,1.71
2004-07-01,1.56
2004-10-01,1.46
2005-01-01,1.41
2005-04-01,1.32
2005-07-01,1.24
2005-10-01,1.15
2006-01-01,1.13
2006-04-01,1.06
2006-07-01,1.07
2006-10-01,1.16
2007-01-01,1.21
2007-04-01,1.35
2007-07-01,1.13
2007-10-01,1.11
2008-01-01,1.10
2008-04-01,1.10
2008-07-01,1.16
2008-10-01,1.44
2009-01-01,1.75
2009-04-01,2.13
2009-07-01,2.61
2009-10-01,3.12
2010-01-01,3.03
2010-04-01,3.31
2010-07-01,3.15
2010-10-01,2.66
2011-01-01,2.38
2011-04-01,2.20
2011-07-01,1.98
2011-10-01,1.83
2012-01-01,1.61
2012-04-01,1.52
2012-07-01,1.68
2012-10-01,1.42
2013-01-01,1.23
2013-04-01,1.15
2013-07-01,1.14
2013-10-01,1.08
2014-01-01,1.07
2014-04-01,0.99
2014-07-01,0.83
2014-10-01,0.72
2015-01-01,0.80
2015-04-01,0.84
2015-07-01,0.77
2015-10-01,0.96
2016-01-01,1.08
2016-04-01,1.12
2016-07-01,1.30
2016-10-01,1.46
2017-01-01,1.52
2017-04-01,1.51
2017-07-01,1.56
2017-10-01,1.52
2018-01-01,1.64
2018-04-01,1.72
2018-07-01,1.72
2018-10-01,1.72
2019-01-01,1.72
2019-04-01,1.84
2019-07-01,1.91
2019-10-01,2.02
2020-01-01,1.94
